network	station_id	station_name	station_type	owner	lat	lon
NOAA CO-OPS	8551910	Reedy Point	meteorology,water_level,water_temperature	NOAA CO-OPS	39.558334	-75.571945
NOAA CO-OPS	8557380	Lewes	meteorology,water_level,water_temperature	NOAA CO-OPS	38.782833	-75.11928
NOAA CO-OPS	8570283	Ocean City Inlet	meteorology,water_level,water_temperature	NOAA CO-OPS	38.32833	-75.09167
NOAA CO-OPS	8571421	Bishops Head	meteorology,water_level,water_temperature	NOAA CO-OPS	38.22	-76.0383
NOAA CO-OPS	8571892	Cambridge	meteorology,water_level,water_temperature	NOAA CO-OPS	38.5725	-76.06167
NOAA CO-OPS	8573364	Tolchester Beach	meteorology,water_level,water_temperature	NOAA CO-OPS	39.213444	-76.24455
NOAA CO-OPS	8573927	Chesapeake City	meteorology,water_level,water_temperature	NOAA CO-OPS	39.52667	-75.81
NOAA CO-OPS	8574680	Baltimore	meteorology,water_level,water_temperature	NOAA CO-OPS	39.266693	-76.57831
NOAA CO-OPS	8575512	Annapolis	meteorology,water_level,water_temperature	NOAA CO-OPS	38.983883	-76.480034
NOAA CO-OPS	8577330	Solomons Island	meteorology,water_level,water_temperature	NOAA CO-OPS	38.3167	-76.4517
NOAA CO-OPS	8594900	Washington	meteorology,water_level,water_temperature	NOAA CO-OPS	38.873333	-77.02167
NOAA CO-OPS	8631044	Wachapreague	meteorology,water_level,water_temperature	NOAA CO-OPS	37.607777	-75.68584
NOAA CO-OPS	8632200	Kiptopeke	meteorology,water_level,water_temperature	NOAA CO-OPS	37.1652	-75.9884
NOAA CO-OPS	8635027	Dahlgren	meteorology,water_level,water_temperature	NOAA CO-OPS	38.31975	-77.0366
NOAA CO-OPS	8635750	Lewisetta	meteorology,water_level,water_temperature	NOAA CO-OPS	37.9961	-76.4644
NOAA CO-OPS	8637689	Yorktown USCG Training Center	meteorology,water_level,water_temperature	NOAA CO-OPS	37.2265	-76.478806
NOAA CO-OPS	8638610	Sewells Point	meteorology,water_level,water_temperature	NOAA CO-OPS	36.94278	-76.32861
NOAA CO-OPS	8639348	Money Point	meteorology,water_level,water_temperature	NOAA CO-OPS	36.778194	-76.301865
NOAA CO-OPS	8651370	Duck	meteorology,water_level,water_temperature	NOAA CO-OPS	36.1833	-75.7467
NOAA CO-OPS	8652226	JENNETTE'S PIER	meteorology,water_temperature	NOAA CO-OPS	35.91	-75.5917
NOAA CO-OPS	8652587	Oregon Inlet Marina	meteorology,water_level,water_temperature	NOAA CO-OPS	35.795696	-75.548195
NOAA CO-OPS	8654467	USCG Station Hatteras	meteorology,water_level,water_temperature	NOAA CO-OPS	35.2086	-75.7042
NOAA CO-OPS	8656483	Beaufort, Duke Marine Lab	meteorology,water_level,water_temperature	NOAA CO-OPS	34.71733	-76.67066
NOAA CO-OPS	8658120	Wilmington	meteorology,water_level,water_temperature	NOAA CO-OPS	34.2267	-77.9533
NOAA CO-OPS	8658163	Wrightsville Beach	meteorology,water_level,water_temperature	NOAA CO-OPS	34.213306	-77.7867
NOAA CO-OPS	8661070	Springmaid Pier	meteorology,water_level,water_temperature	NOAA CO-OPS	33.655	-78.9183
NOAA CO-OPS	8665530	Charleston	meteorology,water_level,water_temperature	NOAA CO-OPS	32.780834	-79.923615
NOAA CO-OPS	8670870	Fort Pulaski	meteorology,water_level,water_temperature	NOAA CO-OPS	32.034695	-80.90303
NOAA CO-OPS	8720218	Mayport (Bar Pilots Dock)	meteorology,water_level,water_temperature	NOAA CO-OPS	30.398167	-81.42789
NOAA CO-OPS	8720219	Dames Point	meteorology,water_level,water_temperature	NOAA CO-OPS	30.3867	-81.5583
NOAA CO-OPS	8720245	Jacksonville University	meteorology,water_temperature	NOAA CO-OPS	30.354084	-81.61175
NOAA CO-OPS	8721604	Trident Pier, Port Canaveral	meteorology,water_level,water_temperature	NOAA CO-OPS	28.4158	-80.5931
NOAA CO-OPS	8722670	Lake Worth Pier, Atlantic Ocean	meteorology,water_level,water_temperature	NOAA CO-OPS	26.612778	-80.034164
NOAA CO-OPS	8722956	South Port Everglades	meteorology,water_level,water_temperature	NOAA CO-OPS	26.081667	-80.11667
NOAA CO-OPS	8723214	Virginia Key	meteorology,water_level,water_temperature	NOAA CO-OPS	25.7314	-80.1618
NOAA CO-OPS	8723970	Vaca Key, Florida Bay	meteorology,water_level,water_temperature	NOAA CO-OPS	24.711	-81.1065
NOAA CO-OPS	8724580	Key West	meteorology,water_level,water_temperature	NOAA CO-OPS	24.5557	-81.8079
NOAA CO-OPS	8725520	Fort Myers	meteorology,water_level,water_temperature	NOAA CO-OPS	26.647778	-81.87111
NOAA CO-OPS	8726384	Port Manatee	meteorology,water_level,water_temperature	NOAA CO-OPS	27.6387	-82.5621
NOAA CO-OPS	8726520	St. Petersburg	meteorology,water_level,water_temperature	NOAA CO-OPS	27.7606	-82.6269
NOAA CO-OPS	8726607	Old Port Tampa	meteorology,water_level,water_temperature	NOAA CO-OPS	27.8578	-82.5528
NOAA CO-OPS	8726671	Sparkman Channel Entrance	meteorology,water_temperature	NOAA CO-OPS	27.920528	-82.4452
NOAA CO-OPS	8726674	East Bay	meteorology,water_level,water_temperature	NOAA CO-OPS	27.9231	-82.4214
NOAA CO-OPS	8726724	Clearwater Beach	meteorology,water_level,water_temperature	NOAA CO-OPS	27.9783	-82.8317
NOAA CO-OPS	8727520	Cedar Key	meteorology,water_level,water_temperature	NOAA CO-OPS	29.135	-83.0317
NOAA CO-OPS	8728690	Apalachicola	meteorology,water_level,water_temperature	NOAA CO-OPS	29.724445	-84.98055
NOAA CO-OPS	8729108	Panama City	meteorology,water_level,water_temperature	NOAA CO-OPS	30.149723	-85.664444
NOAA CO-OPS	8729210	Panama City Beach	meteorology,water_level,water_temperature	NOAA CO-OPS	30.21375	-85.878586
NOAA CO-OPS	8729840	Pensacola	meteorology,water_level,water_temperature	NOAA CO-OPS	30.4044	-87.2112
NOAA CO-OPS	8735180	Dauphin Island	meteorology,water_level,water_temperature	NOAA CO-OPS	30.25	-88.075
NOAA CO-OPS	8736897	Coast Guard Sector Mobile	meteorology,water_level,water_temperature	NOAA CO-OPS	30.6495	-88.05811
NOAA CO-OPS	8737048	Mobile State Docks	meteorology,water_level,water_temperature	NOAA CO-OPS	30.70461	-88.03961
NOAA CO-OPS	8741533	Pascagoula NOAA Lab	meteorology,water_level,water_temperature	NOAA CO-OPS	30.367777	-88.56306
NOAA CO-OPS	8747437	Bay Waveland Yacht Club	meteorology,water_level,water_temperature	NOAA CO-OPS	30.326342	-89.3258
NOAA CO-OPS	8760721	Pilottown	meteorology,water_level,water_temperature	NOAA CO-OPS	29.179306	-89.258835
NOAA CO-OPS	8760922	Pilots Station East, S.W. Pass	meteorology,water_level,water_temperature	NOAA CO-OPS	28.9322	-89.4075
NOAA CO-OPS	8761305	Shell Beach	meteorology,water_level,water_temperature	NOAA CO-OPS	29.86811	-89.67325
NOAA CO-OPS	8761724	Grand Isle	meteorology,water_level,water_temperature	NOAA CO-OPS	29.2633	-89.9567
NOAA CO-OPS	8761927	New Canal Station	meteorology,water_level,water_temperature	NOAA CO-OPS	30.027222	-90.113335
NOAA CO-OPS	8761955	Carrollton	meteorology,water_level,water_temperature	NOAA CO-OPS	29.932888	-90.135475
NOAA CO-OPS	8762482	West Bank 1, Bayou Gauche	meteorology,water_level,water_temperature	NOAA CO-OPS	29.78861	-90.42028
NOAA CO-OPS	8764044	Berwick, Atchafalaya River	meteorology,water_level,water_temperature	NOAA CO-OPS	29.6675	-91.23761
NOAA CO-OPS	8764227	LAWMA, Amerada Pass	meteorology,water_level,water_temperature	NOAA CO-OPS	29.4496	-91.3381
NOAA CO-OPS	8764314	Eugene Island, North of, Atchafalaya Bay	meteorology,water_level,water_temperature	NOAA CO-OPS	29.3675	-91.3839
NOAA CO-OPS	8766072	Freshwater Canal Locks	meteorology,water_level,water_temperature	NOAA CO-OPS	29.551695	-92.30519
NOAA CO-OPS	8767816	Lake Charles	meteorology,water_level,water_temperature	NOAA CO-OPS	30.223612	-93.221664
NOAA CO-OPS	8767961	Bulk Terminal	meteorology,water_level,water_temperature	NOAA CO-OPS	30.1903	-93.3007
NOAA CO-OPS	8768094	Calcasieu Pass	meteorology,water_level,water_temperature	NOAA CO-OPS	29.768167	-93.34289
NOAA CO-OPS	8770475	Port Arthur	meteorology,water_level,water_temperature	NOAA CO-OPS	29.8667	-93.93
NOAA CO-OPS	8770613	Morgans Point, Barbours Cut	meteorology,water_level,water_temperature	NOAA CO-OPS	29.681667	-94.985
NOAA CO-OPS	8770733	Lynchburg Landing (TCOON)	water_temperature	NOAA CO-OPS	29.765	-95.0783
NOAA CO-OPS	8770777	Manchester	meteorology,water_level,water_temperature	NOAA CO-OPS	29.7263	-95.2658
NOAA CO-OPS	8770808	High Island	meteorology,water_level,water_temperature	NOAA CO-OPS	29.5947	-94.3903
NOAA CO-OPS	8770822	Texas Point, Sabine Pass	meteorology,water_level,water_temperature	NOAA CO-OPS	29.6893	-93.8418
NOAA CO-OPS	8770971	Rollover Pass	meteorology,water_level,water_temperature	NOAA CO-OPS	29.515	-94.5133
NOAA CO-OPS	8771013	Eagle Point, Galveston Bay	meteorology,water_level,water_temperature	NOAA CO-OPS	29.481306	-94.91725
NOAA CO-OPS	8771341	Galveston Bay Entrance, North Jetty	meteorology,water_level,water_temperature	NOAA CO-OPS	29.357462	-94.724724
NOAA CO-OPS	8771450	Galveston Pier 21	meteorology,water_level,water_temperature	NOAA CO-OPS	29.31	-94.7933
NOAA CO-OPS	8771486	Galveston Railroad Bridge	meteorology,water_level,water_temperature	NOAA CO-OPS	29.3026	-94.8971
