location	putative_site	network	station_id	station_name	station_type	owner	lat	lon	distance_km
Squaxin_Island	Squaxin Island, southern Puget Sound	NDBC	46123	Twanoh - Hood Canal, WA (U of Wash)	Buoy	WA	47.375	-123.008	22.68
Squaxin_Island	Squaxin Island, southern Puget Sound	NANOOS/UW ORCA	ORCA_Twanoh	Twanoh, southern Hood Canal	moored buoy (CTD, oxygen, chlorophyll, met)	University of Washington	47.375	-123.008	22.68
Squaxin_Island	Squaxin Island, southern Puget Sound	NDBC	46124	Hoodsport - Hood Canal, WA (U of Wash)	Buoy	WA	47.422	-123.113	30.59
Squaxin_Island	Squaxin Island, southern Puget Sound	NANOOS/UW ORCA	ORCA_Hoodsport	Hoodsport, Hood Canal	moored buoy (CTD, oxygen, chlorophyll, met)	University of Washington	47.425	-123.113	30.89
Squaxin_Island	Squaxin Island, southern Puget Sound	NDBC	tcmw1	9446482 - Tacoma Met, WA	Water Level Observation Network	PT	47.276	-122.418	39.38
Squaxin_Island	Squaxin Island, southern Puget Sound	NOAA CO-OPS	9446482	Tacoma MET	meteorology	NOAA CO-OPS	47.275833	-122.41778	39.39
Squaxin_Island	Squaxin Island, southern Puget Sound	NOAA CO-OPS	9446484	Tacoma	meteorology,water_level,water_temperature	NOAA CO-OPS	47.2667	-122.4133	39.46
Squaxin_Island	Squaxin Island, southern Puget Sound	NDBC	tcnw1	9446484 - Tacoma, WA	Water Level Observation Network	PT	47.267	-122.413	39.49
Squaxin_Island	Squaxin Island, southern Puget Sound	NOAA CO-OPS	9445958	Bremerton	meteorology,water_level	NOAA CO-OPS	47.5617	-122.623	47.98
Squaxin_Island	Squaxin Island, southern Puget Sound	NOAA CO-OPS	9447130	Seattle	meteorology,water_level,water_temperature	NOAA CO-OPS	47.60264	-122.3393	64.18
Squaxin_Island	Squaxin Island, southern Puget Sound	NANOOS/UW ORCA	ORCA_DabobBay	Dabob Bay, Hood Canal	moored buoy (CTD, oxygen, chlorophyll, met)	University of Washington	47.803	-122.803	69.83
WB	Westcott Bay, San Juan Island	NOAA CO-OPS	9449880	Friday Harbor	meteorology,water_level,water_temperature	NOAA CO-OPS	48.545277	-123.0125	11.72
WB	Westcott Bay, San Juan Island	NDBC	frdw1	9449880 - Friday Harbor, WA	Water Level Observation Network	O	48.545	-123.012	11.76
WB	Westcott Bay, San Juan Island	NDBC	46134	Pat Bay	3-meter discus buoy	C	48.65	-123.5	26.02
WB	Westcott Bay, San Juan Island	NDBC	46088	NEW DUNGENESS - 17 NM NE of Port Angeles, WA	3-meter discus buoy w/ seal cage	N	48.332	-123.179	28.17
WB	Westcott Bay, San Juan Island	NDBC	sisw1	Smith Island, WA	C-MAN Station	N	48.321	-122.831	38.08
WB	Westcott Bay, San Juan Island	NOAA CO-OPS	9449427	Cherry Point North Dock	meteorology	NOAA CO-OPS	48.864307	-122.76425	42.51
WB	Westcott Bay, San Juan Island	NOAA CO-OPS	9449419	Cherry Point South Dock	meteorology	NOAA CO-OPS	48.86	-122.757	42.53
WB	Westcott Bay, San Juan Island	NDBC	cpmw1	9449419 - Cherry Point South Dock Met, WA	Water Level Observation Network	PT	48.86	-122.756	42.58
WB	Westcott Bay, San Juan Island	NOAA CO-OPS	9449424	Cherry Point	meteorology,water_level,water_temperature	NOAA CO-OPS	48.862717	-122.75858	42.67
WB	Westcott Bay, San Juan Island	NOAA CO-OPS	9444090	Port Angeles	meteorology,water_level,water_temperature	NOAA CO-OPS	48.125	-123.44	55.18
